,Type,Name,Year,Director,Address,Lat,Lon,Borough,Number_of_Complaints,Style,Material,Use,Nbhd,Imdb,Tel,Url,System,Categories,Phone,Rating,Price,Zip_code
626,film,Single White Female,1992,Barbet Schroeder,Ansonia Hotel<br>2109 Broadway<br>Manhattan,40.779956,-73.981881,Manhattan,NA,,,,Upper West Side,http://www.imdb.com/title/tt0105414/,,,NA,NA,NA,NA,NA,NA
627,film,Six Degrees of Separation,1993,Fred Schepisi,Central Park<br>Manhattan,40.77150687,-73.9690429,Manhattan,NA,,,,Central Park,http://www.imdb.com/title/tt0108149/,,,NA,NA,NA,NA,NA,NA
628,film,Six Degrees of Separation,1993,Fred Schepisi,Metropolitan Museum of Art<br>Fifth Ave. at 82nd St.,40.77907909,-73.96261096,Manhattan,NA,,,,Upper East Side,http://www.imdb.com/title/tt0108149/,,,NA,NA,NA,NA,NA,NA
629,film,Sleepers,1996,Barry Levinson,"W. 47th St., near Pier 87<br>Manhattan",40.76461637,-73.99743676,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0117665/,,,NA,NA,NA,NA,NA,NA
630,film,Sleepers,1996,Barry Levinson,"W. 47th St., near Pier 87<br>Manhattan",40.76474639,-73.99790883,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0117665/,,,NA,NA,NA,NA,NA,NA
631,film,Smithereens,1982,Susan Seidelman,Lower East Side<br>Manhattan,40.71854,-73.98918,Manhattan,NA,,,,Lower East Side,http://www.imdb.com/title/tt0084698/,,,NA,NA,NA,NA,NA,NA
632,film,Smoke,1995,Wayne Wang,Prospect Park and 16th St.<br>Windsor Terrace<br>Brooklyn,40.65725844,-73.97461116,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0114478/,,,NA,NA,NA,NA,NA,NA
633,film,Sophie's Choice,1982,Alan J. Pakula,101 Rugby Rd.<br>Brooklyn,40.647334,-73.966373,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0084707/,,,NA,NA,NA,NA,NA,NA
634,film,Spider-Man,2002,Sam Raimi,Midtown<br>Manhattan,40.7525888,-73.97975564,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0145487/,,,NA,NA,NA,NA,NA,NA
635,film,Spider-Man,2002,Sam Raimi,Midtown<br>Manhattan,40.75668492,-73.97855401,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0145487/,,,NA,NA,NA,NA,NA,NA
636,film,Spider-Man,2002,Sam Raimi,Sunnyside<br>Queens,40.74823233,-73.9139986,Queens,NA,,,,Queens,http://www.imdb.com/title/tt0145487/,,,NA,NA,NA,NA,NA,NA
637,film,Splash,1984,Ron Howard,Pier 17<br>Manhattan,40.70468448,-74.00207162,Manhattan,NA,,,,Lower Manhattan,http://www.imdb.com/title/tt0088161/,,,NA,NA,NA,NA,NA,NA
638,film,State of Grace,1990,Phil Joanou,Hell's Kitchen<br>Manhattan,40.76037446,-73.99125695,Manhattan,NA,,,,Upper West Side,http://imdb.com/title/tt0100685/,,,NA,NA,NA,NA,NA,NA
639,film,Sugar Hill,1994,Leon Ichaso,Edgecomb Ave.<br>Harlem<br>Manhattan,40.82943024,-73.93964052,Manhattan,NA,,,,Harlem,http://www.imdb.com/title/tt0107079/,,,NA,NA,NA,NA,NA,NA
640,film,Summer of Sam,1999,Spike Lee,"CBGB's <br>315 Bowery (at Bleecker)<br>East Village, Manhattan",40.725034,-73.992067,Manhattan,NA,,,,SoHo,http://www.imdb.com/title/tt0162677/,,,NA,NA,NA,NA,NA,NA
641,film,Sweet Home Alabama,2002,Andy Tennant,Tiffany & Co.<br>727 Fifth Ave.<br>Manhattan,40.76279612,-73.97387624,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0256415/,,,NA,NA,NA,NA,NA,NA
642,film,Sweet November,1968,Robert Ellis Miller,Remsen St. and Montague Terrace<br>Brooklyn Heights<br>Brooklyn,40.695,-73.9977,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0063661/,,,NA,NA,NA,NA,NA,NA
643,film,Sweet Smell of Success,1957,Alexandre Mackenrick,Manhattan ,40.75779831,-73.97556603,Manhattan,NA,,,,Midtown,http://imdb.com/title/tt0051036/,,,NA,NA,NA,NA,NA,NA
644,film,Taxi Driver,1976,Martin Scorsese,E. 12th St. and Third Ave.<br>East Village<br>Manhattan,40.732,-73.9882,Manhattan,NA,,,,East Village,http://www.imdb.com/title/tt0075314/,,,NA,NA,NA,NA,NA,NA
645,film,Taxi Driver,1976,Martin Scorsese,Bellmore Cafeteria<br>Park Ave. South and E. 28th St.<br>Manhattan,40.74335,-73.98405,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0075314/,,,NA,NA,NA,NA,NA,NA
646,film,Taxi Driver,1976,Martin Scorsese,Columbus Ave. and E. 86th St.<br>Upper West Side<br>Manhattan,40.7865,-73.9722,Manhattan,NA,,,,Upper West Side,http://www.imdb.com/title/tt0075314/,,,NA,NA,NA,NA,NA,NA
647,film,The Anderson Tapes,1971,Sidney Lumet,E. 91st St. and Fifth Ave.<br>Upper East Side<br>Manhattan,40.7847,-73.9581,Manhattan,NA,,,,Upper East Side,http://www.imdb.com/title/tt0066767/,,,NA,NA,NA,NA,NA,NA
648,film,The April Fools,1969,Stuart Rosenberg,Marine Midlane Bank<br>140 Broadway<br>Lower Manhattan,40.708972,-74.010518,Manhattan,NA,,,,Lower Manhattan,http://www.imdb.com/title/tt0064036/,,,NA,NA,NA,NA,NA,NA
649,film,The April Fools,1969,Stuart Rosenberg,Central Park<br>Manhattan,40.77326188,-73.9711082,Manhattan,NA,,,,Central Park,http://www.imdb.com/title/tt0064036/,,,NA,NA,NA,NA,NA,NA
650,film,The Basketball Diaries ,1995,Scott Kalvert,Forest Hills,40.729403,-73.845455,Queens,NA,,,,Queens,http://imdb.com/title/tt0112461/,,,NA,NA,NA,NA,NA,NA
651,film,The Bonfire of the Vanities,1990,Brian De Palma,E. 74th St. and Park Ave.<br>Upper East Side<br>Manhattan,40.77245,-73.9629,Manhattan,NA,,,,Upper East Side,http://www.imdb.com/title/tt0099165/,,,NA,NA,NA,NA,NA,NA
652,film,The Brother from Another Planet,1984,John Sayles,Ellis Island<br>New York Harbor,40.69736408,-74.04119968,Manhattan,NA,,,,New York Harbor,http://www.imdb.com/title/tt0087004/,,,NA,NA,NA,NA,NA,NA
653,film,The Brothers McMullen,1995,Edward Burns,W. 46th St. and Eighth Ave.<br>Midtown<br>Manhattan,40.7598,-73.9879,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0112585/,,,NA,NA,NA,NA,NA,NA
654,film,The Cotton Club,1984,Francis Ford Coppola,E. 6th St. between First Ave. & Ave. A<br>East Village<br>Manhattan,40.72597413,-73.9851898,Manhattan,NA,,,,East Village,http://imdb.com/title/tt0087089/,,,NA,NA,NA,NA,NA,NA
655,film,The Cowboy Way,1994,Gregg Champion,Manhattan Bridge,40.70940164,-73.99183095,Manhattan,NA,,,,Lower Manhattan,http://www.imdb.com/title/tt0109493/,,,NA,NA,NA,NA,NA,NA
656,film,The Devil's Advocate,1997,Taylor Hackford,Chinatown<br>Manhattan,40.71500487,-73.99886906,Manhattan,NA,,,,Chinatown,http://www.imdb.com/title/tt0118971/,,,NA,NA,NA,NA,NA,NA
657,film,The Fisher King,1991,Terry Gilliam,Grand Central Station<br>87 E. 42nd St.<br>Manhattan,40.75270258,-73.97726655,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0101889/,,,NA,NA,NA,NA,NA,NA
658,film,The French Connection,1971,William Friedkin,Bay 50th St. Station<br>Brooklyn,40.58860227,-73.9837575,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0067116/,,,NA,NA,NA,NA,NA,NA
659,film,The Godfather Part II,1974,Francis Ford Coppola,E. 6th St. and Ave. A<br>East Village<br>Manhattan,40.72539684,-73.98378432,Manhattan,NA,,,,East Village,http://www.imdb.com/title/tt0071562/,,,NA,NA,NA,NA,NA,NA
660,film,The Honeymooners,1955-1956,Frank Satenstein,358 Chauncy St.<br>Bensonhurst<br>Brooklyn,40.681501,-73.918753,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0042114/,,,NA,NA,NA,NA,NA,NA
661,film,The Hours,2002,Stephen Daldry,W. 14th St. and Hudson St.<br>West Village<br>Manhattan,40.74059157,-74.00546193,Manhattan ,NA,,,,West Village,http://imdb.com/title/tt0274558/,,,NA,NA,NA,NA,NA,NA
662,film,The Interpreter,2005,Sydney Pollack,United Nations<br>First Ave. and E. 45th St.<br>Manhattan,40.75067069,-73.96795392,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0373926/,,,NA,NA,NA,NA,NA,NA
663,film,The Landlord,1970,Hal Ashby,51 Prospect Pl.<br>Brooklyn,40.67962098,-73.9760381,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0065963/,,,NA,NA,NA,NA,NA,NA
664,film,The Landlord,1970,Hal Ashby,51 Prospect Pl.<br>Brooklyn,40.679728,-73.975974,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0065963/,,,NA,NA,NA,NA,NA,NA
665,film,The Late Show with David Letterman,1993-?,"Jerry Foley,Randi Grossack,(more)",Ed Sullivan Theatre<br>1697 Broadway<br>Manhattan,40.763719,-73.982833,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0106053/,,,NA,NA,NA,NA,NA,NA
666,film,The Lost Weekend,1945,Billy Wilder,Third Ave. from E. 55th to 110th St.<br>Upper East Side to E. Harlem<br>Manhattan,40.759,-73.9685,Manhattan,NA,,,,Upper East Side,http://imdb.com/title/tt0037884/,,,NA,NA,NA,NA,NA,NA
667,film,The Naked City,1948,Jules Dassin,Williamsburg Bridge<br>Brooklyn,40.71132094,-73.96457434,Brooklyn,NA,,,,Brooklyn,http://imdb.com/title/tt0040636/,,,NA,NA,NA,NA,NA,NA
668,film,The Night They Raided Minsky's ,1968,William Friedkin,"E. 26th St. near Second Ave.<br>Manhattan
",40.739701,-73.978935,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0063348/,,,NA,NA,NA,NA,NA,NA
669,film,The Out-of-Towners,1970,Arthur Hiller,Central Park<br>Manhattan,40.78970474,-73.96065831,Manhattan,NA,,,,Central Park,http://www.imdb.com/title/tt0066193/,,,NA,NA,NA,NA,NA,NA
670,film,The Panic in Needle Park,1971,Jerry Schatzberg,W. 72nd St. and Broadway<br>Upper West Side<br>Manhattan,40.7788,-73.9821,Manhattan,NA,,,,Upper West Side,http://www.imdb.com/title/tt0067549/,,,NA,NA,NA,NA,NA,NA
671,film,The Pawnbroker,1965,Sidney Lumet,Park Ave. and E. 116th St.<br>Harlem<br>Manhattan,40.79935,-73.94325,Manhattan,NA,,,,Harlem,http://imdb.com/title/tt0059575/,,,NA,NA,NA,NA,NA,NA
672,film,The Pickle ,1993,Paul Mazursky,Brighton Beach Boardwalk<br>Brooklyn,40.57488865,-73.96376431,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0107824/,,,NA,NA,NA,NA,NA,NA
673,film,The Pick-Up Artist,1984,James Toback,Columbus Ave. near W. 75th St.<br>Upper West Side<br>Manhattan,40.7794,-73.9774,Manhattan,NA,,,,Upper West Side,http://www.imdb.com/title/tt0093737/,,,NA,NA,NA,NA,NA,NA
674,film,The Prisoner of Second Avenue,1975,Melvin Frank,Second Ave. and E. 87th St.<br>Upper East Side<br>Manhattan,40.7786,-73.9513,Manhattan,NA,,,,Upper East Side,http://www.imdb.com/title/tt0072034/,,,NA,NA,NA,NA,NA,NA
675,film,The Producers,1968,Mel Brooks,East 80's<br>Upper East Side<br>Manhattan,40.77708049,-73.9539206,Manhattan,NA,,,,Upper East Side,http://www.imdb.com/title/tt0063462/,,,NA,NA,NA,NA,NA,NA
676,film,The Producers,1968,Mel Brooks,Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.77234375,-73.98341954,Manhattan,NA,,,,Upper West Side,http://www.imdb.com/title/tt0063462/,,,NA,NA,NA,NA,NA,NA
677,film,The Producers,2005,Susan Stroman,Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.77214875,-73.98319423,Manhattan,NA,,,,Upper West Side,http://www.imdb.com/title/tt0395251/,,,NA,NA,NA,NA,NA,NA
678,film,The Professional,1994,Luc Besson,Manhattan,40.75421427,-73.96904826,Manhattan,NA,,,,Midtown,http://imdb.com/title/tt0110413/,,,NA,NA,NA,NA,NA,NA
679,film,The Royal Tenenbaums,2001,Wes Anderson,Convent Ave. and 144th St.<br>Hamilton Heights<br>Manhattan,40.824,-73.9467,Manhattan,NA,,,,Harlem,http://www.imdb.com/title/tt0265666/,,,NA,NA,NA,NA,NA,NA
680,film,The Seven Year Itch,1955,Billy Wilder,Lexington Ave. between 51st St. and 52nd St.<br>Midtown<br>Manhattan,40.75744885,-73.97163928,Manhattan,NA,,,,Midtown,http://imdb.com/title/tt0048605/,,,NA,NA,NA,NA,NA,NA
681,film,The Siege,1998,Edward Zwick,Greenpoint<br>Brooklyn,40.73025075,-73.95436049,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0133952/,,,NA,NA,NA,NA,NA,NA
682,film,The Sopranos,1999-2007,"David Chase,(more)","Empire Stores Park<br>Brooklyn Bridge
",40.704089,-73.993617,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0141842/,,,NA,NA,NA,NA,NA,NA
683,film,The Squid and the Whale,2005,Noah Baumbach,Museum of Natural History<br>W. 79th St. and Central Park West<br>Manhattan,40.78099638,-73.97245467,Manhattan,NA,,,,Upper West Side,http://www.imdb.com/title/tt0367089/,,,NA,NA,NA,NA,NA,NA
684,film,The Taking of Pelham One Two Three,1974,Joseph Sargent,Subway near Court St.<br>Brooklyn,40.69307721,-73.9907366,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0072251/,,,NA,NA,NA,NA,NA,NA
685,film,The Warriors,1979,Walter Hill,Astroland<br>Coney Island <br>Brooklyn,40.57464417,-73.97885978,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0080120/,,,NA,NA,NA,NA,NA,NA
686,film,The Warriors,1979,Walter Hill,Subway Car<br>Coney Island<br>Brooklyn,40.5757606,-73.98127377,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0080120/,,,NA,NA,NA,NA,NA,NA
687,film,The Wiz,1978,Sidney Lumet,World Trade Center<br>Lower Manhattan,40.71092245,-74.01405036,Manhattan,NA,,,,Lower Manhattan,http://www.imdb.com/title/tt0078504/,,,NA,NA,NA,NA,NA,NA
688,film,The Wrong Man,1956,Alfred Hitchcock,Subway at 53rd St. and Fifth Ave.<br>Midtown<br>Manhattan,40.76050449,-73.97546411,Manhattan,NA,,,,Midtown,http://imdb.com/title/tt0051207/,,,NA,NA,NA,NA,NA,NA
689,film,Three Days of the Condor,1975,Sydney Pollack,Riverside Drive<br>Upper West Side<br>Manhattan,40.81431267,-73.96185994,Manhattan,NA,,,,Harlem,http://www.imdb.com/title/tt0073802/,,,NA,NA,NA,NA,NA,NA
690,film,Times Square,1980,Allan Moyle,W. 42nd St. between Seventh Ave. and Eighth Ave.<br>Times Square<br>Manhattan,40.75668492,-73.98842454,Manhattan,NA,,,,Times Square,http://www.imdb.com/title/tt0081635/,,,NA,NA,NA,NA,NA,NA
691,film,Tootsie,1982,Sydney Pollack,W. 42nd between Ninth Ave. and Tenth Ave.<br>Midtown<br>Manhattan,40.75918798,-73.99477601,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0084805/,,,NA,NA,NA,NA,NA,NA
692,film,Two for the Seesaw,1962,"Robert Wise
",Brooklyn Bridge,40.705693,-73.99630487,Manhattan,NA,,,,Lower Manhattan,http://www.imdb.com/title/tt0056626/,,,NA,NA,NA,NA,NA,NA
693,film,Up the Down Staircase,1967,Robert Mulligan,East Harlem (El Barrio)<br>Manhattan,40.79792464,-73.94221544,Manhattan,NA,,,,Harlem,http://www.imdb.com/title/tt0062425/,,,NA,NA,NA,NA,NA,NA
694,film,Up the Sandbox,1972,Irvin Kershner,Carousel<br>Central Park<br>Manhattan,40.77056434,-73.97752404,Manhattan,NA,,,,Central Park,http://www.imdb.com/title/tt0069449/,,,NA,NA,NA,NA,NA,NA
695,film,Up the Sandbox,1972,Irvin Kershner,Riverside Park near W. 109th St.<br>Morningside Heights<br>Manhattan,40.805169,-73.96920919,Manhattan,NA,,,,Morningside Heights,http://www.imdb.com/title/tt0069449/,,,NA,NA,NA,NA,NA,NA
696,film,Uptown Girls,2003,Boaz Yakin,Astroland<br>Coney Island <br>Brooklyn,40.57402483,-73.97888124,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0263757/,,,NA,NA,NA,NA,NA,NA
697,film,Vanilla Sky,2001,Cameron Crowe,W. 45th St. and Seventh Ave.<br>Times Square<br>Manhattan,40.75787145,-73.98539901,Manhattan,NA,,,,Times Square,http://www.imdb.com/title/tt0259711/,,,NA,NA,NA,NA,NA,NA
698,film,Wall Street,1987,Oliver Stone,New York Stock Exchange<br>Exchange Place<br>Lower Manhattan,40.70605086,-74.01056349,Manhattan,NA,,,,Lower Manhattan,http://www.imdb.com/title/tt0094291/,,,NA,NA,NA,NA,NA,NA
699,film,Wall Street,1987,Oliver Stone,Broadway and Vesey St.,40.7114,-74.0086,Manhattan,NA,,,,Lower Manhattan,http://www.imdb.com/title/tt0094291/,,,NA,NA,NA,NA,NA,NA
700,film,West Side Story,1961,"Robert Wise,Jerome Robbins",W. 68th St.<br>Upper West Side<br>Manhattan,40.77621929,-73.98391843,Manhattan,NA,,,,Upper West Side,http://imdb.com/title/tt0055614/,,,NA,NA,NA,NA,NA,NA
701,film,West Side Story,1961,"Robert Wise,Jerome Robbins",W. 68th St.<br>Upper West Side<br>Manhattan,40.77651178,-73.98512006,Manhattan,NA,,,,Upper West Side,http://imdb.com/title/tt0055614/,,,NA,NA,NA,NA,NA,NA
702,film,Wolfen,1981,Michael Wadleigh,World Trade Center<br>Lower Manhattan,40.71013359,-74.01267707,Manhattan,NA,,,,Lower Manhattan,http://www.imdb.com/title/tt0083336/,,,NA,NA,NA,NA,NA,NA
703,film,Wolfen,1981,Michael Wadleigh,Manhattan Bridge,40.70823052,-73.99117649,Manhattan ,NA,,,,Lower Manhattan,http://www.imdb.com/title/tt0083336/,,,NA,NA,NA,NA,NA,NA
704,film,Wolfen,1981,Michael Wadleigh,Charlotte St.<br>The Bronx,40.83478796,-73.89212251,The Bronx,NA,,,,The Bronx,http://www.imdb.com/title/tt0083336/,,,NA,NA,NA,NA,NA,NA
705,film,Working Girl,1988,Mike Nichols,Staten Island Ferry<br>New York Harbor,40.68233035,-74.03574944,Staten Island,NA,,,,Staten Island,http://www.imdb.com/title/tt0096463/,,,NA,NA,NA,NA,NA,NA
706,film,You're a Big Boy Now,1966,Francis Ford Coppola,Steeplechase Park<br>Coney Island<br>Brooklyn,40.57472566,-73.98032963,Brooklyn,NA,,,,Brooklyn,http://www.imdb.com/title/tt0061209/,,,NA,NA,NA,NA,NA,NA
707,film,You're a Big Boy Now,1966,Francis Ford Coppola,"New York Public Library<br>Fifth Ave. and 41st St.<br>Manhattan
",40.75286513,-73.98153663,Manhattan,NA,,,,Midtown,http://www.imdb.com/title/tt0061209/,,,NA,NA,NA,NA,NA,NA
708,film,You've Got Mail,1998,Nora Ephron,Verdi Square<br>W. 73rd St.  & Broadway<br>Manhattan,40.77925782,-73.98153663,Manhattan,NA,,,,Upper West Side,http://www.imdb.com/title/tt0128853/,,,NA,NA,NA,NA,NA,NA
709,film,You've Got Mail,1998,Nora Ephron,91st Street Community Garden<br>Riverside Park<br>Manhattan,40.79282387,-73.97741675,Manhattan,NA,,,,Upper West Side,http://www.imdb.com/title/tt0128853/,,,NA,NA,NA,NA,NA,NA
710,Museum,Alexander Hamilton U.S. Custom House,,,1 Bowling Grn,40.70381622,-74.0137558,,NA,,,,,,(212) 514-3700,http://www.oldnycustomhouse.gov/,NA,NA,NA,NA,NA,NA
711,Museum,Alice Austen House Museum,,,2 Hylan Blvd,40.61512084,-74.06303179,,NA,,,,,,(718) 816-4506,http://www.aliceausten.org/,NA,NA,NA,NA,NA,NA
712,Museum,American Academy of Arts and Letters,,,633 W. 155th St.,40.8338535,-73.94729769,,NA,,,,,,(212) 368-5900,http://www.artsandletters.org/,NA,NA,NA,NA,NA,NA
713,Museum,American Folk Art Museum,,,45 West 53rd Street,40.76162497,-73.97810302,,NA,,,,,,(212) 265-1040,http://www.folkartmuseum.org/,NA,NA,NA,NA,NA,NA
714,Museum,American Immigration History Center,,,Ellis Island,40.69905626,-74.03968484,,NA,,,,,,(212) 363-3200,http://www.ellisisland.org/,NA,NA,NA,NA,NA,NA
715,Museum,American Museum of Natural History,,,Central Park West at 79th Street,40.78082623,-73.97364816,,NA,,,,,,(212) 769-5100,http://www.amnh.org/,NA,NA,NA,NA,NA,NA
716,Museum,American Numismatic Society,,,75 Varick St,40.72352659,-74.00701188,,NA,,,,,,(212) 571-4470,http://www.numismatics.org/,NA,NA,NA,NA,NA,NA
717,Museum,Americas Society,,,680 Park Ave.,40.76882423,-73.96597045,,NA,,,,,,(212) 249-8950,http://as.americas-society.org/,NA,NA,NA,NA,NA,NA
718,Museum,Anne Frank Center USA,,,38 Crosby Street,40.72112745,-73.99963037,,NA,,,,,,(212) 431-7993,http://www.annefrank.com/,NA,NA,NA,NA,NA,NA
719,Museum,Asia Society,,,725 Park Avenue,40.76983378,-73.96428396,,NA,,,,,,(212) 288-6400,http://www.asiasociety.org/,NA,NA,NA,NA,NA,NA
720,Museum,Audubon Terrace,,,Broadway at 155 Street,40.83358228,-73.9465459,,NA,,,,,,,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,NA,NA,NA,NA,NA,NA
721,Museum,Bartow-Pell Mansion,,,895 Shore Road,40.87177832,-73.8055795,,NA,,,,,,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,NA,NA,NA,NA,NA,NA
722,Museum,Bowne House,,,37-01 Bowne Street,40.76288633,-73.82489046,,NA,,,,,,(718) 359-0528,http://www.bownehouse.org/,NA,NA,NA,NA,NA,NA
723,Museum,Bronx Historical Society & Musem,,,3309 Bainbridge Ave,40.87823644,-73.87974874,,NA,,,,,,(718) 881-8900,http://www.bronxhistoricalsociety.org/,NA,NA,NA,NA,NA,NA
724,Museum,Bronx Museum of the Arts (BXMA),,,1040 Grand Concourse,40.83102978,-73.91975018,,NA,,,,,,(718) 681-6000,http://www.bronxmuseum.org/,NA,NA,NA,NA,NA,NA
725,Museum,Brooklyn Children's Museum,,,145 Brooklyn Avenue,40.674507,-73.94401601,,NA,,,,,,(718) 735-4400,http://www.brooklynkids.org/,NA,NA,NA,NA,NA,NA
726,Museum,Brooklyn Historical Society,,,128 Pierrepont Street,40.69480297,-73.9924054,,NA,,,,,,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,NA,NA,NA,NA,NA,NA
727,Museum,Brooklyn Museum,,,200 Eastern Parkway,40.67108321,-73.96358507,,NA,,,,,,(718) 638-5000,http://www.brooklynmuseum.org/,NA,NA,NA,NA,NA,NA
728,Museum,Chelsea Art Museum,,,556 West 22nd Street,40.7478976,-74.00731553,,NA,,,,,,(212) 255-0719,http://www.chelseaartmuseum.org/,NA,NA,NA,NA,NA,NA
729,Museum,Children's Museum of Manhattan,,,212 West 83rd Street,40.78587092,-73.97727392,,NA,,,,,,(212) 721-1234,http://www.cmom.org/,NA,NA,NA,NA,NA,NA
730,Museum,Children's Museum of the Arts,,,182 Lafayette Street,40.72074947,-73.99883836,,NA,,,,,,(212) 274-0986,http://cmany.org/intro.php?pn=home,NA,NA,NA,NA,NA,NA
731,Museum,Cloisters,,,99 Margaret Corbin Drive,40.86492364,-73.93173409,,NA,,,,,,(212) 923-3700,http://www.metmuseum.org/cloisters/,NA,NA,NA,NA,NA,NA
732,Museum,Coney Island Museum,,,1208 Surf Ave,40.57526324,-73.97985598,,NA,,,,,,(718) 372-5159,http://www.coneyisland.com/,NA,NA,NA,NA,NA,NA
733,Museum,"Cooper-Hewitt, National Design Museum",,,2 East 91st Street,40.78432574,-73.95778162,,NA,,,,,,(212) 849-8400,http://www.cooperhewitt.org/,NA,NA,NA,NA,NA,NA
734,Museum,Dahesh Museum,,,580 Madison Avenue,40.76210697,-73.9730419,,NA,,,,,,(212) 759-0606,http://www.daheshmuseum.org,NA,NA,NA,NA,NA,NA
735,Museum,Dia at the Hispanic Society,,,613 West 155th Street,40.83330211,-73.94649318,,NA,,,,,,(845) 440-0100,http://www.diabeacon.org/,NA,NA,NA,NA,NA,NA
736,Museum,Dia Art Foundation,,,535 W 22nd Street,40.74789493,-74.00613538,,NA,,,,,,(212) 989 5566,http://www.diacenter.org/,NA,NA,NA,NA,NA,NA
737,Museum,Discovery Times Square Exposition,,,226 W 44th St,40.75750109,-73.98731864,,NA,,,,,,(866) 987-9692,http://www.discoverytsx.com/nyc/,NA,NA,NA,NA,NA,NA
738,Museum,Drawing Center,,,35 Wooster St.,40.72245119,-74.00290417,,NA,,,,,,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,NA,NA,NA,NA,NA,NA
739,Museum,Dyckman Farmhouse,,,4881 Broadway,40.86713092,-73.92383915,,NA,,,,,,(212) 304-9422,http://www.dyckmanfarmhouse.org/,NA,NA,NA,NA,NA,NA
740,Museum,East Village History Project,,,308 Bowery,40.7249597,-73.99272306,,NA,,,,,,(212) 614-8702,http://leshp.org/,NA,NA,NA,NA,NA,NA
741,Museum,El Museo del Barrio,,,1230 Fifth Ave,40.79309892,-73.9513676,,NA,,,,,,(212) 831-7272,http://www.elmuseo.org/,NA,NA,NA,NA,NA,NA
742,Museum,Ellis Island Museum,,,Ellis Island,40.69820755,-74.04132162,,NA,,,,,,(212) 363-3200,http://www.ellisisland.org/,NA,NA,NA,NA,NA,NA
743,Museum,Fraunces Tavern Museum,,,54 Pearl Street,40.70339928,-74.01133926,,NA,,,,,,(212) 425-1778,http://www.frauncestavernmuseum.org/,NA,NA,NA,NA,NA,NA
744,Museum,Frick Collection,,,1 E. 70th Street,40.77105465,-73.96708041,,NA,,,,,,(212) 288-0700,http://www.frick.org/,NA,NA,NA,NA,NA,NA
745,Museum,Garibaldi-Meucci Museum,,,420 Tompkins Avenue,40.61516522,-74.07387774,,NA,,,,,,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,NA,NA,NA,NA,NA,NA
746,Museum,Goethe-Institut New York,,,1014 Fifth Avenue,40.77916564,-73.96174204,,NA,,,,,,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,NA,NA,NA,NA,NA,NA
747,Museum,Gracie Mansion,,,89th Street at East End Avenue,40.77611345,-73.94306846,,NA,,,,,,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,NA,NA,NA,NA,NA,NA
748,Museum,Hall Of Fame For Great Americans,,,Hall of Fame Terrace & Sedgwick Avenue,40.85874717,-73.91397963,,NA,,,,,,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,NA,NA,NA,NA,NA,NA
749,Museum,Harbor Defense Museum of Fort Hamilton,,,230 Sheridan Loop,40.60900867,-74.03231078,,NA,,,,,,(718) 630-4349,http://www.harbordefensemuseum.com/,NA,NA,NA,NA,NA,NA
750,Museum,Hispanic Society of America Museum,,,613 West 155th Street,40.83345215,-73.94682282,,NA,,,,,,(212) 926-2234,http://www.hispanicsociety.org/,NA,NA,NA,NA,NA,NA
751,Museum,Holocaust Museum & Studies Center,,,75 W 205th St,40.87835786,-73.89098784,,NA,,,,,,(718) 817-7700,http://www.holocauststudies.org/,NA,NA,NA,NA,NA,NA
